Obraz wejściowy miał 640x480 pikseli
Każda nowa seria zaczynająca wiersz od 0 to naprzemian wersja block lub interleaved. Jeżeli seria kończy się na indeksie n to znaczy że była uruchomiona z n+1 wątków.

Filtr 3x3
0 56574.000000
0 55446.000000
0 36082.000000
1 34892.000000
0 32445.000000
1 32520.000000
0 19945.000000
1 27500.000000
2 19127.000000
3 26989.000000
0 18735.000000
1 25787.000000
2 18947.000000
3 25902.000000
0 18187.000000
1 18023.000000
2 18689.000000
3 17647.000000
4 17283.000000
5 16902.000000
6 20346.000000
7 18421.000000
0 15785.000000
1 15750.000000
2 15898.000000
3 16669.000000
4 15766.000000
5 15787.000000
6 16531.000000
7 16319.000000

Filtr 15x15
0 1488676.000000
0 1358621.000000
0 732415.000000
1 728584.000000
0 720409.000000
1 724332.000000
0 444260.000000
1 459377.000000
2 442680.000000
3 459000.000000
0 443648.000000
1 452069.000000
2 444192.000000
3 451316.000000
0 329830.000000
1 329849.000000
2 331931.000000
3 327431.000000
4 326933.000000
5 326699.000000
6 324748.000000
7 337109.000000
0 326894.000000
1 329020.000000
2 326264.000000
3 328668.000000
4 329569.000000
5 327843.000000
6 340196.000000
7 351929.000000

Filtr 65x65
0 25806231.000000
0 26916628.000000
0 13728933.000000
1 13684123.000000
0 13339013.000000
1 13298423.000000
0 8316645.000000
1 8337326.000000
2 8322201.000000
3 8312034.000000
0 8327871.000000
1 8337305.000000
2 8305356.000000
3 8384515.000000
0 5987418.000000
1 5981643.000000
2 6018219.000000
3 6035758.000000
4 6014704.000000
5 5968874.000000
6 6053606.000000
7 5959777.000000
0 5975438.000000
1 5989067.000000
2 5993154.000000
3 6011189.000000
4 6019405.000000
5 6023358.000000
6 5959935.000000
7 6022710.000000
